,pdbx_caspflag,pdbx_descriptor,title,pdbx_keywords,text,paper_title,pdbx_model_details,pdbx_model_type_details,Hchain,Lchain,antigen_chain,antigen_type,antigen_name,short_header,date,compound,organism,heavy_species,light_species,antigen_species,authors,method,pmid
7WK9,N,,SARS-COV-2 OMICRON OPEN STATE SPIKE PROTEIN IN COMPLEX WITH S3H3 FAB,VIRAL PROTEIN,"SARS-COV-2, CORONAVIRUS, OMICRON VARIANT, B.1.1.529 LINEAGE, SPIKE PROTEIN, VIRAL PROTEIN",MOLECULAR BASIS OF RECEPTOR BINDING AND ANTIBODY NEUTRALIZATION OF OMICRON.,,,A,B,B,PROTEIN,LIGHT CHAIN OF S3H3 FAB,VIRAL PROTEIN,02/02/22,SARS-COV-2 OMICRON OPEN STATE SPIKE PROTEIN IN COMPLEX WITH S3H3 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"HONG, Q., CONG, Y.",ELECTRON MICROSCOPY,NONE
7SWP,N,,G32Q4 FAB IN COMPLEX WITH SARS-COV-2 SPIKE 6P (RBD LOCAL RECONSTRUCTION),VIRAL PROTEIN/IMMUNE SYSTEM,"ANTIBODY, VIRUS, IMMUNITY, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",DIMER OF HEPTAMER CLASS 2,,,H,L,A,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,04/27/22,G32Q4 FAB IN COMPLEX WITH SARS-COV-2 SPIKE 6P (RBD LOCAL RECONSTRUCTION),SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"WINDSOR, I.W., TONG, P., WESEMANN, D.R., HARRISON, S.C.",ELECTRON MICROSCOPY,NONE
7X08,N,,S PROTEIN OF SARS-COV-2 IN COMPLEX WITH 2G1,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",BROAD ULTRA-POTENT NEUTRALIZATION OF SARS-COV-2 VARIANTS BY MONOCLONAL ANTIBODIES SPECIFIC TO THE TIP OF RBD.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,03/09/22,S PROTEIN OF SARS-COV-2 IN COMPLEX WITH 2G1,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS,"GUO, Y.Y., ZHANG, Y.Y., ZHOU, Q.",ELECTRON MICROSCOPY,NONE
7UPL,N,,SARS-COV2 OMICRON VARIENT S PROTEIN STRUCTURE IN COMPLEX WITH NEUTRALIZING MONOCLONAL ANTIBODY 002-S21F2,VIRAL PROTEIN,"SARS-COV2, 6P, SPIKE PROTEIN, IMMUNE COMPLEX, VIRAL PROTEIN",SARS-COV2 OMICRON VARIANT S PROTEIN STRUCTURE IN COMPLEX WITH NEUTRALIZING MONOCLONAL ANTIBODY 002-S21F2,,,F,I,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,08/10/22,SARS-COV2 OMICRON VARIENT S PROTEIN STRUCTURE IN COMPLEX WITH NEUTRALIZING MONOCLONAL ANTIBODY 002-S21F2,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"PATEL, A., ORTLUND, E.",ELECTRON MICROSCOPY,NONE
4ZPV,,"D12 FAB HEAVY CHAIN, D12 FAB LIGHT CHAIN, SPIKE GLYCOPROTEIN",STRUCTURE OF MERS-CORONAVIRUS SPIKE RECEPTOR-BINDING DOMAIN (ENGLAND1 STRAIN) IN COMPLEX WITH VACCINE-ELICITED MURINE NEUTRALIZING ANTIBODY D12 (CRYSTAL FORM 2),VIRAL PROTEIN/IMMUNE SYSTEM,"VACCINE, IMMUNOGEN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",EVALUATION OF CANDIDATE VACCINE APPROACHES FOR MERS-COV.,,,H,L,R,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,05/08/15,STRUCTURE OF MERS-CORONAVIRUS SPIKE RECEPTOR-BINDING DOMAIN (ENGLAND1 STRAIN) IN COMPLEX WITH VACCINE-ELICITED MURINE NEUTRALIZING ANTIBODY D12 (CRYSTAL FORM 2),HUMAN CORONAVIRUS EMC (ISOLATE UNITED KINGDOM/H123990006/2012); MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,HUMAN CORONAVIRUS EMC (ISOLATE UNITEDKINGDOM/H123990006/2012) ,"JOYCE, M.G., MASCOLA, J.R., GRAHAM, B.S., KWONG, P.D.",X-RAY DIFFRACTION,NONE
7WCZ,N,,SARS-COV-2 BETA SPIKE IN COMPLEX WITH ONE S5D2 FAB,VIRAL PROTEIN,"SARS-COV-2, CORONAVIRUS, BETA VARIANT, B.1.351 LINEAGE, SPIKE PROTEIN, VIRAL PROTEIN",MAPPING CROSS-VARIANT NEUTRALIZING SITES ON THE SARS-COV-2 SPIKE PROTEIN.,,,A,B,A,PROTEIN,HEAVY CHAIN OF S5D2 FAB,VIRAL PROTEIN,02/02/22,SARS-COV-2 BETA SPIKE IN COMPLEX WITH ONE S5D2 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"WANG, Y.F., CONG, Y.",ELECTRON MICROSCOPY,NONE
7PS2,N,,CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 BETA VARIANT SPIKE GLYCOPROTEIN IN COMPLEX WITH BETA-29 AND BETA-53 FABS,VIRAL PROTEIN,"SARS-COV-2 B.1.1.7 (ALPHA) VARIANT, B.1.351 (BETA) VARIANT, P.1 (GAMMA) VARIANT, B.1.617.2 (DELTA) VARIANT, ANTIBODY, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",THE ANTIBODY RESPONSE TO SARS-COV-2 BETA UNDERSCORES THE ANTIGENIC DISTANCE TO OTHER VARIANTS.,,,H,L,G,PROTEIN,SURFACE GLYCOPROTEIN,VIRAL PROTEIN,12/15/21,CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 BETA VARIANT SPIKE GLYCOPROTEIN IN COMPLEX WITH BETA-29 AND BETA-53 FABS,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, D., REN, J., STUART, D.I.",X-RAY DIFFRACTION,NONE
7MEJ,N,,CRYOEM STRUCTURE OF SARS-COV-2 RBD IN COMPLEX WITH NANOBODIES NB21 AND NB36,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2 RECEPTOR BINDING DOMAIN NANOBODY, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",POTENT NEUTRALIZING NANOBODIES RESIST CONVERGENT CIRCULATING VARIANTS OF SARS-COV-2 BY TARGETING DIVERSE AND CONSERVED EPITOPES,,,A,,R,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,08/11/21,CRYOEM STRUCTURE OF SARS-COV-2 RBD IN COMPLEX WITH NANOBODIES NB21 AND NB36,LAMA GLAMA; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,LAMA GLAMA,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"HUANG, W., TAYLOR, D.J.",ELECTRON MICROSCOPY,NONE
5GMQ,N,"SPIKE PROTEIN S1, MCA1 HEAVY CHAIN, MCA1 LIGHT CHAIN",STRUCTURE OF MERS-COV RBD IN COMPLEX WITH A FULLY HUMAN ANTIBODY MCA1,VIRAL PROTEIN/IMMUNE SYSTEM,VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX,HUMAN NEUTRALIZING MONOCLONAL ANTIBODY INHIBITION OF MIDDLE EAST RESPIRATORY SYNDROME CORONAVIRUS REPLICATION IN THE COMMON MARMOSET.,,,B,C,A,PROTEIN,S PROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,07/15/16,STRUCTURE OF MERS-COV RBD IN COMPLEX WITH A FULLY HUMAN ANTIBODY MCA1,MIDDLE EAST RESPIRATORY SYNDROME CORONAVIRUS; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,MIDDLE EAST RESPIRATORY SYNDROME CORONAVIRUS,"CHEN, C., WANG, J.M., ZOU, T.T., GAO, X.P., CUI, S., JIN, Q.",X-RAY DIFFRACTION,NONE
7BEH,N,"SPIKE GLYCOPROTEIN, COVOX-316 HEAVY CHAIN, COVOX-316 LIGHT CHAIN",CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-316 FAB,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, ANTIBODY, GERMLINE, V-GENE, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, PROTECTION, GLYCOSYLATION, VALENCY, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",THE ANTIGENIC ANATOMY OF SARS-COV-2 RECEPTOR BINDING DOMAIN.,,,H,L,E,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,03/03/21,CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-316 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, D., ZHAO, Y., REN, J., STUART, D.",X-RAY DIFFRACTION,NONE
7CZS,N,"SPIKE GLYCOPROTEIN, HEAVY CHAIN OF 4A8, LIGHT CHAIN OF 4A8",S PROTEIN OF SARS-COV-2 IN COMPLEX BOUND WITH P5A-1B8_3B,VIRAL PROTEIN,"SARS-COV-2, ANTIBODY, VIRAL PROTEIN",STRUCTURAL BASIS FOR BIVALENT BINDING AND INHIBITION OF SARS-COV-2 INFECTION BY HUMAN POTENT NEUTRALIZING ANTIBODIES.,,,I,M,B,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,03/10/21,S PROTEIN OF SARS-COV-2 IN COMPLEX BOUND WITH P5A-1B8_3B,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"YAN, R.H., ZHANG, Y.Y., LI, Y.N., ZHOU, Q.",ELECTRON MICROSCOPY,NONE
5W9M,N,"SPIKE GLYCOPROTEIN, G4 VH, G4 VL",MERS S ECTODOMAIN TRIMER IN COMPLEX WITH VARIABLE DOMAIN OF NEUTRALIZING ANTIBODY G4,VIRAL PROTEIN,"IMMUNOGEN, PEPLOMER, VIRAL SPIKE, MERS, MERS S PROTEIN, ANTIBODY, G4, VIRAL PROTEIN",IMMUNOGENICITY AND STRUCTURES OF A RATIONALLY DESIGNED PREFUSION MERS-COV SPIKE ANTIGEN.,,,B,C,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,06/23/17,MERS S ECTODOMAIN TRIMER IN COMPLEX WITH VARIABLE DOMAIN OF NEUTRALIZING ANTIBODY G4,MIDDLE EAST RESPIRATORY SYNDROME-RELATED CORONAVIRUS; MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,MIDDLE EAST RESPIRATORY SYNDROME-RELATEDCORONAVIRUS ,"PALLESEN, J., WARD, A.B.",ELECTRON MICROSCOPY,NONE
7JMW,N,,CRYSTAL STRUCTURE OF SARS-COV-2 SPIKE PROTEIN RECEPTOR-BINDING DOMAIN IN COMPLEX WITH CROSS-NEUTRALIZING ANTIBODY COVA1-16 FAB,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, ANTIBODY, SPIKE, CORONAVIRUS, COVID-19, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",CROSS-NEUTRALIZATION OF A SARS-COV-2 ANTIBODY TO A FUNCTIONALLY CONSERVED SITE IS MEDIATED BY AVIDITY.,,,H,L,A,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,08/03/20,CRYSTAL STRUCTURE OF SARS-COV-2 SPIKE PROTEIN RECEPTOR-BINDING DOMAIN IN COMPLEX WITH CROSS-NEUTRALIZING ANTIBODY COVA1-16 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"LIU, H., YUAN, M., ZHU, X., WU, N.C., WILSON, I.A.",X-RAY DIFFRACTION,NONE
7QTJ,N,,SARS-COV-2 S OMICRON SPIKE B.1.1.529 - RBD UP - 1-P2G3 AND 1-P5C3 FABS (LOCAL),VIRAL PROTEIN,"SARS-COV-2 S OMICRON SPIKE B.1.1.529, VIRAL PROTEIN",PATIENT-DERIVED MONOCLONAL ANTIBODY NEUTRALIZES SARS-COV-2 OMICRON VARIANTS AND CONFERS FULL PROTECTION IN MONKEYS.,,,F,E,A,PROTEIN,SURFACE GLYCOPROTEIN,VIRAL PROTEIN,08/03/22,SARS-COV-2 S OMICRON SPIKE B.1.1.529 - RBD UP - 1-P2G3 AND 1-P5C3 FABS (LOCAL),HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"NI, D., LAU, K., TURELLI, P., FENWICK, C., PEREZ, L., POJER, F., STAHLBERG, H., PANTALEO, G., TRONO, D.",ELECTRON MICROSCOPY,NONE
7M6G,N,"SPIKE GLYCOPROTEIN, BG7-15 FAB HEAVY CHAIN, BG7-15 FAB LIGHT CHAIN","STRUCTURE OF THE SARS-COV-2 S 6P TRIMER IN COMPLEX WITH THE HUMAN NEUTRALIZING ANTIBODY FAB FRAGMENT, BG7-15",VIRAL PROTEIN/ANTIVIRAL PROTEIN,"SARS-COV-2, CORONAVIRUS, COVID-19, ANTIBODY, NEUTRALIZING ANTIBODY, RECEPTOR BINDING DOMAIN, SPIKE GLYCOPROTEIN, ANTIVIRAL PROTEIN, VIRAL PROTEIN-ANTIVIRAL PROTEIN COMPLEX",B CELL GENOMICS BEHIND CROSS-NEUTRALIZATION OF SARS-COV-2 VARIANTS AND SARS-COV.,,,H,L,C,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/ANTIVIRAL PROTEIN,05/05/21,"STRUCTURE OF THE SARS-COV-2 S 6P TRIMER IN COMPLEX WITH THE HUMAN NEUTRALIZING ANTIBODY FAB FRAGMENT, BG7-15",SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"BARNES, C.O., BJORKMAN, P.J.",ELECTRON MICROSCOPY,NONE
7WK0,N,,LOCAL REFINE OF OMICRON SPIKE BITRIMER WITH 6M6 ANTIBODY,VIRAL PROTEIN,"OMICRON, SPIKE, ANTIBODY, VIRAL PROTEIN",A BROADLY NEUTRALIZING ANTIBODY AGAINST SARS-COV-2 OMICRON VARIANT INFECTION EXHIBITING A NOVEL TRIMER DIMER CONFORMATION IN SPIKE PROTEIN BINDING.,,,D,E,F,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,07/13/22,LOCAL REFINE OF OMICRON SPIKE BITRIMER WITH 6M6 ANTIBODY,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHAN, W.Q., ZHANG, X., CHEN, Z.G., SUN, L.",ELECTRON MICROSCOPY,NONE
7JMX,N,,CRYSTAL STRUCTURE OF A SARS-COV-2 CROSS-NEUTRALIZING ANTIBODY COVA1-16 FAB,IMMUNE SYSTEM,"SARS-COV-2, ANTIBODY, SPIKE, CORONAVIRUS, COVID-19, IMMUNE SYSTEM",CROSS-NEUTRALIZATION OF A SARS-COV-2 ANTIBODY TO A FUNCTIONALLY CONSERVED SITE IS MEDIATED BY AVIDITY.,,,H,L,,,,IMMUNE SYSTEM,08/03/20,CRYSTAL STRUCTURE OF A SARS-COV-2 CROSS-NEUTRALIZING ANTIBODY COVA1-16 FAB,HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,,"LIU, H., YUAN, M., ZHU, X., WU, N.C., WILSON, I.A.",X-RAY DIFFRACTION,NONE
7EY0,N,,LOCAL CRYOEM STRUCTURE OF THE SARS-COV-2 S6PV2 IN COMPLEX WITH BD-813 FAB AND BD-744 FAB,VIRAL PROTEIN,"SARS-COV-2, ANTIBODY, VIRAL PROTEIN",STRUCTURES OF SARS-COV-2 B.1.351 NEUTRALIZING ANTIBODIES PROVIDE INSIGHTS INTO COCKTAIL DESIGN AGAINST CONCERNING VARIANTS.,,,A,B,R,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,01/08/09,LOCAL CRYOEM STRUCTURE OF THE SARS-COV-2 S6PV2 IN COMPLEX WITH BD-813 FAB AND BD-744 FAB,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"DU, S., XIAO, J.",ELECTRON MICROSCOPY,NONE
7TCC,N,,CRYO-EM STRUCTURE OF SARS-COV-2 OMICRON SPIKE IN COMPLEX WITH ANTIBODIES A19-46.1 AND B1-182.1,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, SPIKE, ANTIBODY, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",CRYO-EM STRUCTURE OF SARS-COV-2 OMICRON SPIKE,,,D,E,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,03/30/22,CRYO-EM STRUCTURE OF SARS-COV-2 OMICRON SPIKE IN COMPLEX WITH ANTIBODIES A19-46.1 AND B1-182.1,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, T., KWONG, P.D.",ELECTRON MICROSCOPY,NONE
7NX6,N,"COVOX-158 HEAVY CHAIN, COVOX-158 LIGHT CHAIN, SPIKE GLYCOPROTEIN",CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-222 AND EY6A FABS,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2 B.1.1.7 VARIANT, B.1.351 VARIANT, P.1 VARIANT, ANTIBODY, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",ANTIBODY EVASION BY THE P.1 STRAIN OF SARS-COV-2.,,,H,L,E,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,04/07/21,CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-222 AND EY6A FABS,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, D., REN, J., STUART, D.",X-RAY DIFFRACTION,NONE
7M52,N,"SPIKE GLYCOPROTEIN STEM HELIX PEPTIDE, B6 ANTIGEN-BINDING (FAB) FRAGMENT HEAVY CHAIN, B6 ANTIGEN-BINDING (FAB) FRAGMENT LIGHT CHAIN",B6 FAB FRAGMENT BOUND TO THE HKU4 SPIKE STEM HELIX PEPTIDE,"ANTIVIRAL PROTEIN, IMMUNE SYSTEM","BROADLY NEUTRALIZING ANTIBODY, STRUCTURAL GENOMICS, SSGCID, CENTER FOR STRUCTURAL GENOMICS OF INFECTIOUS DISEASES, CSGID, ANTIVIRAL PROTEIN, IMMUNE SYSTEM, SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE",STRUCTURAL BASIS FOR BROAD CORONAVIRUS NEUTRALIZATION.,,,H,L,A,PEPTIDE,SPIKE GLYCOPROTEIN STEM HELIX PEPTIDE,"ANTIVIRAL PROTEIN, IMMUNE SYSTEM",05/26/21,B6 FAB FRAGMENT BOUND TO THE HKU4 SPIKE STEM HELIX PEPTIDE,MUS MUSCULUS; SYNTHETIC CONSTRUCT,MUS MUSCULUS,MUS MUSCULUS,BAT CORONAVIRUS HKU4,"SAUER, M.M., PARK, Y.J., VEESLER, D., CENTER FOR STRUCTURAL GENOMICS OF INFECTIOUS DISEASES (CSGID)",X-RAY DIFFRACTION,NONE
7ZRC,N,,OMI-38 FAB IN COMPLEX WITH SARS-COV-2 BETA SPIKE,STRUCTURAL PROTEIN,"SARS-COV2, SPIKE, GLYCOPROTEIN, ANTIBODY, FAB, B.1.135, BETA VARIANT, COMPLEX, NEUTRALISING, CONVALESCENT SERA, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN, IMMUNE SYSTEM COMPLEX, STRUCTURAL PROTEIN",POTENT CROSS-REACTIVE ANTIBODIES FOLLOWING OMICRON BREAKTHROUGH IN VACCINEES.,,,H,L,C,PROTEIN,"SPIKE GLYCOPROTEIN,FIBRITIN",STRUCTURAL PROTEIN,06/01/22,OMI-38 FAB IN COMPLEX WITH SARS-COV-2 BETA SPIKE,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; ENTEROBACTERIA PHAGE T4; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,"SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2, ENTEROBACTERIA PHAGE T4 ","DUYVESTEYN, H.M.E., REN, J., STUART, D.I.",ELECTRON MICROSCOPY,NONE
7RU5,N,,CC6.30 FRAGMENT ANTIGEN BINDING IN COMPLEX WITH SARS-COV-2-6P-MUT7 S PROTEIN (NON-UNIFORM REFINEMENT),VIRAL PROTEIN/IMMUNE SYSTEM,"COVID, SARS-COV-2, STABILIZING MUTATIONS, NEUTRALIZING ANTIBODY, RBD, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",ENGINEERING SARS-COV-2 NEUTRALIZING ANTIBODIES FOR INCREASED POTENCY AND REDUCED VIRAL ESCAPE PATHWAYS.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,08/24/22,CC6.30 FRAGMENT ANTIGEN BINDING IN COMPLEX WITH SARS-COV-2-6P-MUT7 S PROTEIN (NON-UNIFORM REFINEMENT),HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"OZOROWSKI, G., TURNER, H.L., WARD, A.B.",ELECTRON MICROSCOPY,NONE
7S5R,N,,CRYSTAL STRUCTURE OF SARS-COV-2 RECEPTOR BINDING DOMAIN IN COMPLEX WITH NEUTRALIZING ANTIBODIES CV07-287 AND COVA1-16,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, CORONAVIRUS, ANTIBODY, FAB, SPIKE, RBD, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",SARS-COV-2 BETA VARIANT INFECTION ELICITS POTENT LINEAGE-SPECIFIC AND CROSS-REACTIVE ANTIBODIES.,,,B,C,A,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,03/09/22,CRYSTAL STRUCTURE OF SARS-COV-2 RECEPTOR BINDING DOMAIN IN COMPLEX WITH NEUTRALIZING ANTIBODIES CV07-287 AND COVA1-16,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"YUAN, M., WILSON, I.A.",X-RAY DIFFRACTION,NONE
7KKZ,N,,CRYSTAL STRUCTURE OF MOUSE ANTI-HIV POTENT NEUTRALIZING ANTIBODY M4H2K1,ANTIVIRAL PROTEIN,"HIV-1, ENV, MONOCLONAL ANTIBODY, IMMUNE SYSTEM, ANTIVIRAL PROTEIN",NEUTRALIZING ANTIBODIES INDUCED BY FIRST-GENERATION GP41-STABILIZED HIV-1 ENVELOPE TRIMERS AND NANOPARTICLES.,,,H,L,,,,ANTIVIRAL PROTEIN,07/07/21,CRYSTAL STRUCTURE OF MOUSE ANTI-HIV POTENT NEUTRALIZING ANTIBODY M4H2K1,MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,,"KUMAR, S., WILSON, I.A.",X-RAY DIFFRACTION,NONE
7XOD,N,,SARS-COV-2 OMICRON BA.2 VARIANT SPIKE TRIMER WITH THREE JMB2002 FAB BOUND,VIRAL PROTEIN/IMMUNE SYSTEM,VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX,STRUCTURAL AND BIOCHEMICAL MECHANISM FOR INCREASED INFECTIVITY AND IMMUNE EVASION OF OMICRON BA.2 VARIANT COMPARED TO BA.1 AND THEIR POSSIBLE MOUSE ORIGINS.,,,X,Y,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,06/15/22,SARS-COV-2 OMICRON BA.2 VARIANT SPIKE TRIMER WITH THREE JMB2002 FAB BOUND,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS; LAMA GLAMA,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"XU, Y., WU, C., LIU, H., YIN, W., XU, H.E.",ELECTRON MICROSCOPY,NONE
