pdb_id,pdbx_caspflag,pdbx_descriptor,title,pdbx_keywords,text,pdbx_model_type_details,pdbx_model_details
7N3H,N,,"Affinity maturation of SARS-CoV-2 neutralizing antibodies confers potency, breadth, and resilience to viral escape mutations.",IMMUNE SYSTEM,"severe acute respiratory syndrome coronavirus-2, spike protein, neutralizing antibodies, IMMUNE SYSTEM",,
5O04,N,"Capsid protein, Nanobody (VHH) Nano-26, Nanobody (VHH) Nano-85",Nanobodies targeting norovirus capsid reveal functional epitopes and potential mechanisms of neutralization.,VIRAL PROTEIN,"Norovirus, Protruding domain, capsid, VHH, Nanobody Nanobody (VHH) Nano-4, Viral protein",,
5XMH,N,"Immunoglobulin gamma-1 heavy chain, YES8c light chain, YES8c heavy chain",Structure-function analyses of a stereotypic rheumatoid factor unravel the structural basis for germline-encoded antibody autoreactivity.,IMMUNE SYSTEM,"Immunoglobulin, Complex, Rheumatoid factor, Autoantibody, IMMUNE SYSTEM",,
1VFA,,"FV FRAGMENT OF MOUSE MONOCLONAL ANTIBODY D1.3 (BALB/C, IGG1, K)",Bound water molecules and conformational stabilization help mediate an antigen-antibody association.,IMMUNOGLOBULIN,IMMUNOGLOBULIN,,
7CMK,N,"VP1, VP2, VP3, VP4",Serotype specific epitopes identified by neutralizing antibodies underpin immunogenic differences in Enterovirus B.,VIRUS,"Echovirus B, mature, VIRUS, neutralizing MAb",,
5J57,,"Ricin (E.C.3.2.2.22), V5E1",Structural Analysis of Single Domain Antibodies Bound to a Second Neutralizing Hot Spot on Ricin Toxin's Enzymatic Subunit.,HYDROLASE/IMMUNE SYSTEM,"Ricin, RTA, single chain antibodies (VHH), HYDROLASE-IMMUNE SYSTEM complex",,
6XR0,N,Dipeptidase 3 (E.C.3.4.13.19),Complex of human Melanotransferrin and SC57.32 Fab fragment reveals novel interdomain arrangement with ferric N-lobe and open C-lobe.,METAL TRANSPORT,"Iron-binding, Ab Complex, METAL TRANSPORT",,
7JIE,N,,Broadly cross-reactive human antibodies that inhibit genogroup I and II noroviruses.,VIRAL PROTEIN,"Antibody, Complex, Viral capsid protein, Neutralization, VIRAL PROTEIN",,
6TKF,N,"ChiLob 7/4 H2 Heavy chain C225S, ChiLob 7/4 H2 Kappa light chain C214S",A covalent activity switch mechanism in IgG2 antibodies,IMMUNE SYSTEM,"----, IMMUNE SYSTEM, antibody",,
6N4Q,N,Nav1.7 VSD2-NavAb chimera,Structural Basis of Nav1.7 Inhibition by a Gating-Modifier Spider Toxin.,MEMBRANE PROTEIN,"voltage-gated sodium channel, gating modifier toxin, MEMBRANE PROTEIN",,
6P4Y,N,"4A10 Fab heavy chain, 4A10 Fab light chain",New anti-IL-7R alpha monoclonal antibodies show efficacy against T cell acute lymphoblastic leukemia in pre-clinical models.,IMMUNE SYSTEM,"Antibody 4A10 Fab fragment, protein polymer, IMMUNE SYSTEM",,
7D9Z,N,,The tertiary structure of the human Xkr8-Basigin complex that scrambles phospholipids at plasma membranes.,IMMUNE SYSTEM,"Fab, antibody, basigin, IMMUNE SYSTEM",,
5K9O,N,"31.b.09 Heavy Fv, 31.b.09 Light Fv, Hemagglutinin",Vaccine-Induced Antibodies that Neutralize Group 1 and Group 2 Influenza A Viruses.,IMMUNE SYSTEM,"HV1-18, multidonor, H5, universal influenza vaccine, IMMUNE SYSTEM",,
6SS6,N,"Arginase-2, mitochondrial (E.C.3.5.3.1), Fab C0020187 heavy chain (IgG1), Fab C0020187 light chain (IgG1)",Extensive sequence and structural evolution of Arginase 2 inhibitory antibodies enabled by an unbiased approach to affinity maturation.,PROTEIN BINDING,"arginase-2 inhibitor, IgG, antigen-binding fragment, protein binding",,
6NYQ,N,"1H3 Fab light chain, 1H3 Fab heavy chain, Glycosylated lysosomal membrane protein",GLMP is essential for bone-marrow hematopoiesis and lysosomal glycolipid metabolism,IMMUNE SYSTEM,"lysosome, luminal domain, IMMUNE SYSTEM",,
5EC2,,"Antibody Fab Fragment Light Chain, pH-gated potassium channel KcsA",Individual Ion Binding Sites in the K(+) Channel Play Distinct Roles in C-type Inactivation and in Recovery from Inactivation.,MEMBRANE PROTEIN,"alpha-helical, channel, Fab, Membrane protein",,mutant4
3MLR,,"Human monoclonal anti-HIV-1 gp120 V3 antibody 2557 Fab light chain, Human monoclonal anti-HIV-1 gp120 V3 antibody 2557 Fab heavy chain, HIV-1 gp120 third variable region (V3) crown",Conserved structural elements in the V3 crown of HIV-1 gp120.,IMMUNE SYSTEM,"human monoclonal antibody, Fab, HIV-1, gp120, third variable loop, antibody-antigen interaction, IMMUNE SYSTEM",,
7MN8,N,,Structures of the HER2-HER3-NRG1 beta complex reveal a dynamic dimer interface.,SIGNALING PROTEIN/IMMUNE SYSTEM,"Complex, Receptor Tyrosine Kinase, Herceptin, Trastuzumab, SIGNALING PROTEIN, SIGNALING PROTEIN-IMMUNE SYSTEM complex",,
7OBF,N,HEL4,Crystal structure of the human VH antibody domain HEL4,HYDROLASE,"lysozyme, human VH antibody domain, HEL4, immunoglobulin, HYDROLASE",,
5TIH,N,"Cysteine-rich protective antigen, CyRPA antibody Fab Heavy Chain, CyRPA antibody Fab Light Chain",Structural basis for inhibition of erythrocyte invasion by antibodies toPlasmodium falciparumprotein CyRPA.,IMMUNE SYSTEM,"Plasmodium falciparum CyRPA Inhibitory antibody, IMMUNE SYSTEM",,
1BFO,,CAMPATH-1G ANTIBODY,Crystal structures of a rat anti-CD52 (CAMPATH-1) therapeutic antibody Fab fragment and its humanized counterpart.,ANTIBODY,"ANTIBODY, FAB, CAMPATH-1G, CD52",,
6VN1,N,"Human monoclonal antibody 93k variable light chain, Human monoclonal antibody 93k variable heavy chain, Envelope glycoprotein B",A glycoprotein B-neutralizing antibody structure at 2.8 angstrom uncovers a critical domain for herpesvirus fusion initiation.,VIRAL PROTEIN/IMMUNE SYSTEM,"Varicella Zoster Virus, Glycoprotein B, Neutralization, Monoclonal Antibody, VIRAL PROTEIN-IMMUNE SYSTEM complex",,
4KVC,,"Ig heavy chain V region MOPC 21, Igh protein, Ig kappa chain V-V region MOPC 21, Anti-colorectal carcinoma light chain",Obstruction of Dengue Virus Maturation by Fab Fragments of the 2H2 Antibody.,IMMUNE SYSTEM,"Fab fragment, immature Dengue, pr peptide, IMMUNE SYSTEM",,
4EDX,,"Beta-nerve growth factor, light chain of FAB of murine anti-NGF, heavy chain of Fab of murine anti-NGF",Generation of a high-fidelity antibody against nerve growth factor using library scanning mutagenesis and validation with structures of the initial and optimized Fab-antigen complexes.,IMMUNE SYSTEM,"cystine knot, immunoglobulin, growth/survival factor, immune system",,
6M47,N,"Sodium-dependent dopamine transporter, Antibody fragment (Fab) 9D5 Light chain, Antibody fragment (Fab) 9D5 heavy chain",Structural basis of norepinephrine recognition and transport inhibition in neurotransmitter transporters.,MEMBRANE PROTEIN,"neurotransmitter transporter, antibody fragment, MEMBRANE PROTEIN",,
1UYW,,"FAB ANTIBODY HEAVY CHAIN, FAB ANTIBODY LIGHT CHAIN",Crystal Structure of the Antiflavivirus Fab4G2,IMMUNE SYSTEM,IMMUNE SYSTEM,,
1AFV,,"HUMAN IMMUNODEFICIENCY VIRUS TYPE 1 CAPSID PROTEIN, ANTIBODY FAB25.3 FRAGMENT",Crystal structure of dimeric HIV-1 capsid protein.,Viral protein/Immune system,"COMPLEX (VIRAL CAPSID-IMMUNOGLOBULIN), HIV, CAPSID PROTEIN, P24, Viral protein-Immune system COMPLEX",,
7MKM,N,,A potently neutralizing SARS-CoV-2 antibody inhibits variants of concern by utilizing unique binding residues in a highly conserved epitope.,VIRAL PROTEIN/IMMUNE SYSTEM,"Glycoprotein, Antibody, VIRAL PROTEIN-IMMUNE SYSTEM complex, Structural Genomics, Center for Structural Genomics of Infectious Diseases, CSGID",,
1JPT,,immunoglobulin Fab D3h44 light chain/immunoglobulin Fab D3H44 heavy chain,The 1.85 A resolution crystal structures of tissue factor in complex with humanized Fab D3h44 and of free humanized Fab D3h44: revisiting the solvation of antigen combining sites.,IMMUNE SYSTEM,"antigen-antibody recognition, humanized antibody, blood coagulation, IMMUNE SYSTEM",,
2V7H,,MONOCLONAL ANTIBODY,Role of Antibody Paratope Conformational Flexibility in the Manifestation of Molecular Mimicry.,IMMUNE SYSTEM,"MONOCLONAL ANTIBODY, MANNOPYRANOSIDE SPECIFICITY, MOLECULAR MIMICRY, IMMUNE SYSTEM",,
7N3G,N,,"Affinity maturation of SARS-CoV-2 neutralizing antibodies confers potency, breadth, and resilience to viral escape mutations.",IMMUNE SYSTEM,"severe acute respiratory syndrome coronavirus-2, spike protein, neutralizing antibodies, IMMUNE SYSTEM",,
3BKY,,"the Fab fragment of chimeric 2H7, heavy chain, the Fab fragment of chimeric 2H7, light chain, B-lymphocyte antigen CD20",Crystal structure of chimeric antibody C2H7 Fab in complex with a CD20 peptide,IMMUNE SYSTEM,"2H7, C2H7, chimeric antibody, Fab, CD20, Fab-peptide complex, B-cell activation, Membrane, Phosphoprotein, Transmembrane, IMMUNE SYSTEM",,
3T3P,,"Integrin alpha-IIb, Integrin beta-3, Monoclonal antibody 10E5 heavy chain, Monoclonal antibody 10E5 light chain",Structure-Guided Design of a High-Affinity Platelet  Integrin alphaIIbbeta3 Receptor Antagonist That Disrupts  Mg2+ Binding to the MIDAS,CELL ADHESION,"integrin, cell adhesion, blood clotting, fibrinogen, platelet",,
5C2B,,scFv 3B4,Optimization of a scFv-based biotherapeutic by CDR side-chain clash repair,IMMUNE SYSTEM,"anti-CXCL13, scFv, IMMUNE SYSTEM",,
7JXD,N,"S309 antigen-binding (Fab) heavy chain, S309 antigen-binding (Fab) light chain",Mapping Neutralizing and Immunodominant Sites on the SARS-CoV-2 Spike Receptor-Binding Domain by Structure-Guided High-Resolution Serology.,IMMUNE SYSTEM,"fusion protein, neutralizing antibody, sarbecovirus, Structural Genomics, Seattle Structural Genomics Center for Infectious Disease, SSGCID, IMMUNE SYSTEM",,
6HUP,N,"Gamma-aminobutyric acid receptor subunit alpha-1,Gamma-aminobutyric acid receptor subunit alpha-1, Gamma-aminobutyric acid receptor subunit beta-3, Gamma-aminobutyric acid receptor subunit gamma-2, Megabody Mb38",GABAAreceptor signalling mechanisms revealed by structural pharmacology.,MEMBRANE PROTEIN,"GABAAR, Membrane protein, Cys-loop, PLGIC",,
6RCQ,N,"R5.011 heavy chain, R5.011 light chain",Human Antibodies that Slow Erythrocyte Invasion Potentiate Malaria-Neutralizing Antibodies.,IMMUNE SYSTEM,"Plasmodium falciparum Erythrocyte invasion Potentiating antibody Human monoclonal antibody, IMMUNE SYSTEM",,
6WDT,N,"viral protein 1, viral protein 2, viral protein 3, viral protein 4, EV68-228 heavy chain, EV68-228 light chain",Human antibodies neutralize enterovirus D68 and protect against infection and paralytic disease.,VIRUS/IMMUNE SYSTEM,"virus, enterovirus, antibody, Structural Genomics, Center for Structural Genomics of Infectious Diseases, CSGID, VIRUS-IMMUNE SYSTEM complex",,
6AQ7,N,"Major prion protein, POM6 FAB heavy CHAIN, POM6 FAB light CHAIN",Structural characterization of POM6 Fab and mouse prion protein complex identifies key regions for prions conformational conversion.,IMMUNE SYSTEM,"Prion, antibody, chaperone, antigen-antibody, IMMUNE SYSTEM",,
4YR6,,"heavy chain of 5G6, light chain of 5G6, ACE-LYS-LEU-ARG-GLY-VAL-LEU-GLN-GLY-HIS-LEU",Structural basis for the specific inhibition of glycoprotein Ib alpha shedding by an inhibitory antibody.,IMMUNE SYSTEM,"GPIBA shedding inhibitor, 5G6, KL10, IMMUNE SYSTEM",,
7LYV,N,,Structural basis for recognition of HCMV pentamer by antibodies and NRP2,IMMUNE SYSTEM,"Fab, HCMV Pentamer, antibody, cytomegalovirus, IMMUNE SYSTEM",,
7M42,N,,The monoclonal antibody combination REGEN-COV protects against SARS-CoV-2 mutational escape in preclinical and human studies.,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-Cov-2, RBD, neutralizing antibody, VIRAL PROTEIN-IMMUNE SYSTEM complex",,
7PI7,N,,PfRH5 bound to monoclonal antibody R5.015 and R5.016 Fab fragments,IMMUNE SYSTEM,"malaria, Plasmodium falciparum, monoclonal antibody, vaccine, IMMUNE SYSTEM",,
5K9Q,N,"Hemagglutinin, hemagglutinin HA2, 16.a.26 Heavy chain, 16.a.26 Light chain",Vaccine-Induced Antibodies that Neutralize Group 1 and Group 2 Influenza A Viruses.,IMMUNE SYSTEM,"HV1-18 (QxxV), multidonor, H5, universal influenza vaccine, IMMUNE SYSTEM",,
3OZ9,,"Fab NC-1 kappa light chain, Fab NC-1 IgG2a heavy chain",Crystal Structure of anti-gp41 Fab NC-1,IMMUNE SYSTEM,"immunoglobulin fold, non-neutralizing antibody, HIV-1 gp41 6-helix bundle core, IMMUNE SYSTEM",,
7VBI,N,,"Structural insights into multiplexed pharmacological actions of tirzepatide and peptide 20 at the GIP, GLP-1 or glucagon receptors.",STRUCTURAL PROTEIN,"Cryo-electron microscopy; G protein-coupled receptor; ligand recognition; receptor activation; unimolecular agonist, STRUCTURAL PROTEIN",,
4HKZ,,"Trastuzumab light chain, Trastuzumab heavy chain, Immunoglobulin G-binding protein A, Protein L fragment",Identification and grafting of a unique peptide-binding site in the Fab framework of monoclonal antibodies.,IMMUNE SYSTEM,"monoclonal antibody, immune system, cancer therapeutic",,
1OSP,,,Crystal structure of Lyme disease antigen outer surface protein A complexed with an Fab.,COMPLEX (IMMUNOGLOBULIN/LIPOPROTEIN),"COMPLEX (IMMUNOGLOBULIN-LIPOPROTEIN), OUTER SURFACE PROTEIN A COMPLEXED WITH FAB184.1, BORRELIA BURGDORFERI STRAIN B31, COMPLEX (IMMUNOGLOBULIN-LIPOPROTEIN) complex",,
5HYQ,,"Cetuximab Fab light chain, Cetuximab Fab heavy chain, Amidated meditope",Cyclization strategies of meditopes: affinity and diffraction studies of meditope-Fab complexes.,IMMUNE SYSTEM,"antibody, anti-EGFR, immune system",,
6W2C,N,"Sodium-dependent serotonin transporter, 8B6 antibody, light chain, 8B6 antibody, heavy chain",Chemical and structural investigation of the paroxetine-human serotonin transporter complex.,TRANSPORT PROTEIN,"antidepressant, complex, transporter, antibody, TRANSPORT PROTEIN",,
6AL0,N,"PDZ tandem fragment with PA tag insertion, Light chain of antigen binding fragment, Fab of NZ-1, Heavy chain of antigen binding fragment, Fab of NZ-1",Application of the NZ-1 Fab as a crystallization chaperone for PA tag-inserted target proteins.,SIGNALING PROTEIN,"protease, SIGNALING PROTEIN",,
3OB0,,"Fab 2G12, light chain, Fab 2G12, heavy chain",A nonself sugar mimic of the HIV glycan shield shows enhanced antigenicity.,IMMUNE SYSTEM,"Fab, IMMUNE SYSTEM",,
4M1G,,"Murine IgG2a A27D7 Light chain Fab domain, Murine IgG2a A27D7 Heavy chain Fab domain, A33R",Structural and Functional Characterization of Anti-A33 Antibodies Reveal a Potent Cross-Species Orthopoxviruses Neutralizer.,IMMUNE SYSTEM,"IGG DOMAIN, ANTIBODY-ANTIGEN COMPLEX, FV, CH1, IGG2A, ANTIGEN-BINDING FRAGMENT (FAB), A33R ANTIGEN, PAPAIN DIGEST OF THE MAB, EEV MEMBRANE (OUTER MEMBRANE OF VACCINIA EV FORM), IMMUNE SYSTEM",,
1CF8,,CATALYTIC ANTIBODY 19A4 (FAB FRAGMENT) + HAPTEN HA5,Convergence of Catalytic Antibody and Terpene Cyclase Mechanisms: Polyene Cyclization Directed by Carbocation-pi Interactions,CATALYTIC ANTIBODY,"CATALYTIC ANTIBODY, TERPENOID SYNTHASE, CARBOCATION, CYCLIZATION CASCADE",,
3JAB,,"GafA domain of cone phosphodiesterase 6C, GafB domain of phosphodiesterase 2A, phosphodiesterase 5/6 chimera catalytic domain, phosphodiesterase 6 gamma subunit inhibitory peptide, IgG1-kappa 2E8 light chain, IgG1-kappa 2E8 heavy chain","Domain Organization and Conformational Plasticity of the G Protein Effector, PDE6.",HYDROLASE/IMMUNE SYSTEM,"phosphodiesterase, photoreceptor, HYDROLASE-IMMUNE SYSTEM complex",,
3GNM,,"JAA-F11 Fab Antibody Fragment, Light Chain, JAA-F11 Fab Antibody Fragment, Heavy Chain",Computational Screening of the Human TF-Glycome Provides a Structural Definition for the Specificity of Anti-Tumor Antibody JAA-F11.,IMMUNE SYSTEM,"Antibody, immunoglobulin, JAA-F11, Thompson-Friedenreich antigen, IMMUNE SYSTEM",,
7LOP,N,,Structural and functional ramifications of antigenic drift in recent SARS-CoV-2 variants.,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-CoV-2, receptor binding domain, coronavirus, COVID-19, antibody, Fab, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM complex",,
6D2P,N,"VRC01cHuGL2 Fab heavy chain, VRC01c-HuGL2 Fab light chain, Germline-targeting HIV-1 gp120 engineered outer domain eOD-GT8",The human naive B cell repertoire contains distinct subclasses for a germline-targeting HIV-1 vaccine immunogen.,IMMUNE SYSTEM,"HIV-1 gp120, engineered outer domain (eOD), germline targeting, CD4 binding site, IOMA-class naive human germline antibody, immune system, viral-protein complex, healthy HIV-1 negative donor",,
4I2X,,"FabOX117 light chain, FabOX117 heavy chain, Signal-regulatory protein gamma",Crystal structure of signal regulatory protein gamma (SIRP gamma) in complex with an antibody Fab fragment.,IMMUNE SYSTEM,"Protein-Fab complex, Structural Genomics, Oxford Protein Production Facility, OPPF, Signal Regulatory Protein, CD47, cell surface, IMMUNE SYSTEM",,
4UTB,,"ENVELOPE GLYCOPROTEIN E, BROADLY NEUTRALIZING HUMAN ANTIBODY EDE2 A11",Recognition Determinants of Broadly Neutralizing Human Antibodies Against Dengue Viruses.,IMMUNE SYSTEM/VIRAL PROTEIN,"IMMUNE SYSTEM-VIRAL PROTEIN COMPLEX, VIRAL PROTEIN, MEMBRANE FUSION, CLASS 2 FUSION PROTEIN, DENGUE VIRUS, BROADLY NEUTRALIZING ANTIBODY, IMMUNE SYSTEM, FAB FRAGMENT",,
7KQE,N,"Fab 3D11 heavy chain, Fab 3D11 light chain, Spike glycoprotein",Structural insight into SARS-CoV-2 neutralizing antibodies and modulation of syncytia.,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-CoV-2, Spike, antibody, Fab, VIRAL PROTEIN-IMMUNE SYSTEM complex",,
6NB6,N,"Spike glycoprotein, S230 heavy chain, S230 light chain",Unexpected Receptor Functional Mimicry Elucidates Activation of Coronavirus Fusion.,VIRUS,"coronavirus spike glycoprotein, MERS-CoV, SARS-CoV, human neutralizing antibodies, Structural Genomics, Seattle Structural Genomics Center for Infectious Disease, SSGCID, VIRUS",,
5VXR,N,"MAb24 Variable Heavy Chain, MAb24 Variable Light Chain, Virus Envelope Protein 2 (E.C.3.4.22.-)",Escape of Hepatitis C Virus from Epitope I Neutralization Increases Sensitivity of Other Neutralization Epitopes.,IMMUNE SYSTEM,"Antibody, IMMUNE SYSTEM",,
5DHX,,"Anti-Rev Antibody Fab single-chain variable fragment, heavy chain, Anti-Rev Antibody Fab single-chain variable fragment, light chain, Protein Rev",The Structure of HIV-1 Rev Filaments Suggests a Bilateral Model for Rev-RRE Assembly.,IMMUNE SYSTEM,"HIV, helical hairpin, RNA-binding, nuclear export, immune system",,
5I9Q,,gp120,Structural basis for germline antibody recognition of HIV-1 immunogens.,IMMUNE SYSTEM,"ANTIBODY, IMMUNE SYSTEM, HIV-1",,
6MQC,N,"antibody Fab heavy chain, antibody Fab light chain, HIV fusion peptide residue 512-519",Antibody Lineages with Vaccine-Induced Antigen-Binding Hotspots Develop Broad HIV Neutralization.,IMMUNE SYSTEM,"HIV, neutralizing, NHP, FP, Fusion Peptide, vaccine, IMMUNE SYSTEM",,
6PZY,N,"Neuraminidase (E.C.3.2.1.18), NA-73 fragment antibody heavy chain, NA-73 fragment antibody light chain",Structural Basis of Protection against H7N9 Influenza Virus by Human Anti-N9 Neuraminidase Antibodies.,VIRAL PROTEIN/IMMUNE SYSTEM,"Neuraminidase, NA, Sh2, N9Shanghai, N9Sh2, antibody, Fab, NA-73, Influenza, VIRAL PROTEIN-IMMUNE SYSTEM complex, H7N9",,
7TE6,N,,Development and characterization of functional antibodies targeting NMDA receptors.,SIGNALING PROTEIN/IMMUNE SYSTEM,"Fab fragment complexed to the receptor, SIGNALING PROTEIN-IMMUNE SYSTEM complex",,
6BY2,N,"Antibody Heavy Chain, Antibody Light Chain, pH-gated potassium channel KcsA",Inverted allosteric coupling between activation and inactivation gates in K+channels.,MEMBRANE PROTEIN,"KcsA, C-type inactivation, ion channel, potassium channel, MEMBRANE PROTEIN",,
7LI7,N,,Illumination of serotonin transporter mechanism and role of the allosteric site.,MEMBRANE PROTEIN,"human serotonin transporter, transport, Fab, occluded, MEMBRANE PROTEIN",,
7F9Y,N,,Molecular recognition of an acyl-peptide hormone and activation of ghrelin receptor.,MEMBRANE PROTEIN,"ghrelin, GPCR, Gq, MEMBRANE PROTEIN",,
1TET,,IGG1 MONOCLONAL FAB FRAGMENT (TE33) COMPLEX WITH CHOLERA TOXIN PEPTIDE 3 (CTP3),Crystal structure of an anticholera toxin peptide complex at 2.3 A.,IMMUNOGLOBULIN,IMMUNOGLOBULIN,,
6YX9,N,,An automated platform for structural analysis of membrane proteins through serial crystallography.,MEMBRANE PROTEIN,"Adiponectin receptor, ADIPOR2, serial synchrotron crystallography, SSX, CrystalDirect, LCP crystallization, in meso, MEMBRANE PROTEIN",,
3IJS,,"Immunoglobulin light chain (IGG3), Immunoglobulin heavy chain (IGG3)",The role of CDR H3 in antibody recognition of a synthetic analog of a lipopolysaccharide antigen.,IMMUNE SYSTEM,"antibody, Kdo, Chlamydia, LPS, Fab, carbohydrate, IMMUNE SYSTEM",,
4P3D,,"Heavy Chain Fab fragment of antibody LEM-2/15, Light Chain Fab fragment of antibody LEM-2/15, MT1-MMP",Inhibition mechanism of membrane metalloprotease by an exosite-swiveling conformational antibody.,IMMUNE SYSTEM,IMMUNE SYSTEM,,
6LZ9,N,"Hepatocyte growth factor, Heavy chain of t8E4 Fab fragment, Light chain of t8E4 Fab fragment",t8E4 antibody Fab complexed with the active form of HGF,IMMUNE SYSTEM,"antibody, HGF, hepatocyte growth factor, active form, IMMUNE SYSTEM",,
4ZFO,,"BCMA (B-cell maturation antigen) (CD269), J22.9-xi Fab, Light Chain, J22.9-xi Fab, Heavy Chain",Potent anti-tumor response by targeting B cell maturation antigen (BCMA) in a mouse model of multiple myeloma.,IMMUNE SYSTEM,"antibody Fab-ligand complex anti-BCMA anti-tumor, immune system",,
7AHV,N,,"A factor VIIIa-mimetic bispecific antibody, Mim8, ameliorates bleeding upon severe vascular challenge in hemophilia A mice.",BLOOD CLOTTING,"Fab, anti-FIXa, hydrolase, mim8, BLOOD CLOTTING",,
6HJP,N,"Hemagglutinin, Heavy chain of FISW84 Fab Fragment, Light chain of FISW84 Fab Fragment",Influenza hemagglutinin membrane anchor.,VIRAL PROTEIN,"Influenza virus, Hemagglutinin, Membrane protein, Membrane fusion, VIRAL PROTEIN",,
5MHG,N,Fab-Fragment,Crystal structures of anti-T4 Fab fragment,IMMUNE SYSTEM,"Fab-fragment, Ig fold, IMMUNE SYSTEM",,
6QB4,N,"Induced myeloid leukemia cell differentiation protein Mcl-1, scFv55",Antibody fragments structurally enable a drug-discovery campaign on the cancer target Mcl-1.,APOPTOSIS,"Mcl1, scFv, indole acid, APOPTOSIS",,
6NFJ,N,"Beta-klotho, Nanobody 30, Fibroblast growth factor 19",Structures of ligand-occupied beta-Klotho complexes reveal a molecular mechanism underlying endocrine FGF specificity and activity.,SIGNALING PROTEIN,"Klotho, FGF19, Nanobody, receptor tyrosine kinase, signaling, SIGNALING PROTEIN",,
4XZU,,"3E6 antibody Fab heavy chain, 3E6 antibody Fab light chain, human factor VIII C2 domain",Structure of the Human Factor VIII C2 Domain in Complex with the 3E6 Inhibitory Antibody.,IMMUNE SYSTEM,"immunoglobulin, blood coagulation, antibody, discoidin, IMMUNE SYSTEM",,
6UUH,N,"B11 Fab Heavy Chain, B11 Fab Light Chain, Immunoglobulin G-binding protein G",A V H 1-69 antibody lineage from an infected Chinese donor potently neutralizes HIV-1 by targeting the V3 glycan supersite.,IMMUNE SYSTEM,"V3 glycan supersite, human antibody, immune system, ANTI-HIV NEUTRALIZING ANTIBODY, VIRAL PROTEIN",,
7LFB,N,,Structures of the ApoL1 and ApoL2 N-terminal domains reveal a non-classical four-helix bundle motif.,IMMUNE SYSTEM,"Complex, IMMUNE SYSTEM",,
5T85,N,"10E8 FAB HEAVY CHAIN, 10E8 FAB LIGHT CHAIN, 10E8 EPITOPE SCAFFOLD T117v2",Lipid interactions and angle of approach to the HIV-1 viral membrane of broadly neutralizing antibody 10E8: Insights for vaccine and therapeutic design.,IMMUNE SYSTEM,"HIV-1 GP41 MPER, 10E8 FAB, LIPID MEMBRANE, IMMUNE SYSTEM",,
6W0G,N,"Fab Heavy Chain, Fab Light Chain, pH-gated potassium channel KcsA",Open and Closed Structures of a Barium-Blocked Potassium Channel.,MEMBRANE PROTEIN,"Ion channel, MEMBRANE PROTEIN",,
2XXC,,CAMELID VHH 9,Targeting HIV-1 Virion Formation with Nanobodies -Implications for the Design of Assembly Inhibitors,IMMUNE SYSTEM,IMMUNE SYSTEM,,
1WEJ,,"E8 ANTIBODY, CYTOCHROME C, PROTOPORPHYRIN IX CONTAINING FE",Structural basis for the binding of an anti-cytochrome c antibody to its antigen: crystal structures of FabE8-cytochrome c complex to 1.8 A resolution and FabE8 to 2.26 A resolution.,COMPLEX (ANTIBODY/ELECTRON TRANSPORT),"IMMUNOGLOBULIN, IGG1 KAPPA, FAB FRAGMENT, HORSE CYTOCHROME C, COMPLEX (ANTIBODY-ELECTRON TRANSPORT), COMPLEX (ANTIBODY-ELECTRON TRANSPORT) complex",,
6SND,N,"LN01 light chain, LN01 heavy chain, Envelope glycoprotein gp160",Structural Basis for Broad HIV-1 Neutralization by the MPER-Specific Human Broadly Neutralizing Antibody LN01.,IMMUNE SYSTEM,"gp41, antibody, complex, MPER, IMMUNE SYSTEM",,
4NUJ,,"PGT152 light chain, PGT152 heavy chain","Structural Delineation of a Quaternary, Cleavage-Dependent Epitope at the gp41-gp120 Interface on Intact HIV-1 Env Trimers.",IMMUNE SYSTEM,"immunoglobulin, Fab fragment, IMMUNE SYSTEM, HIV Envelope",,
7JIX,N,,Murine antibody that engages the influenza hemagglutinin receptor binding site,Viral protein/IMMUNE SYSTEM,"antibody, influenza, hemagglutinin, IMMUNE SYSTEM, Viral protein-IMMUNE SYSTEM complex",,
1NCD,,N9 NEURAMINIDASE-NC41 (E.C.3.2.1.18) COMPLEX WITH FAB,Refined crystal structure of the influenza virus N9 neuraminidase-NC41 Fab complex.,HYDROLASE(O-GLYCOSYL),HYDROLASE(O-GLYCOSYL),,
3RU8,,"Epitope Scaffold 2bodx43, Antibody b12, Heavy Chain, Antibody b12, Light Chain",Computation-guided backbone grafting of a discontinuous motif onto a protein scaffold.,"DE NOVO PROTEIN, IMMUNE SYSTEM","binding epitope from HIV on a heterologous protein, IMMUNE SYSTEM, DE NOVO PROTEIN",,
4FG6,,"H(+)/Cl(-) exchange transporter ClcA, Fab fragment (Heavy chain), Fab fragment (Light chain)",Molecular mechanism of proton transport in CLC Cl-/H+ exchange transporters.,TRANSPORT PROTEIN,"transporter, Membrane, transport protein",,
5H8D,,VHH nanobody,A single domain antibody fragment that recognizes the adaptor ASC defines the role of ASC domains in inflammasome assembly.,IMMUNE SYSTEM,"VHH nanobody, ASC-binding, antibody fragment, inflammasome, IMMUNE SYSTEM",,
